annee,prive,public
2001-02,291969,1877664
2002-03,304743,1909189
2003-04,315048,1947164
2004-05,321627,1954577
2005-06,333987,1956182
2006-07,336796,1924381
2007-08,355234,1883562
2008-09,371495,1870261
2009-10,401291,1920939
2010-11,411524,1916414
2011-12,422681,1934708
2012-13,428942,1958536
2013-14,439724,2001227
2014-15,438641,2041403
2015-16,492595,2127926
2016-17,517509,2164823
2017-18,567210,2191243
2018-19,590169,2233036
2019-20,618824,2254825
2020-21,671380,2290951
2021-22,743365,2303788
2022-23,769353,2235756
2023-24,791245,2243525
2024-25,801760,2287202
