annee,region,part
2001,Auvergne-Rhône-Alpes,13.74609789419855
2001,Bourgogne-Franche-Comté,8.051554633044892
2001,Bretagne,14.91907581116408
2001,Centre-Val de Loire,10.123567582493443
2001,Grand Est,8.136921019208506
2001,Hauts-de-France,16.045007718791943
2001,Normandie,11.362858996284722
2001,Nouvelle-Aquitaine,10.141954950967252
2001,Occitanie,11.072721619913949
2001,Pays de la Loire,25.3312130398052
2001,Provence-Alpes-Côte d'Azur,11.370739790116637
2001,Île-de-France,16.04604753362277
2013,Auvergne-Rhône-Alpes,17.74086182642143
2013,Bourgogne-Franche-Comté,10.235843409553453
2013,Bretagne,18.419071942628566
2013,Centre-Val de Loire,11.389816287647049
2013,Grand Est,11.039505977357296
2013,Hauts-de-France,20.392399638078004
2013,Normandie,17.584691526580766
2013,Nouvelle-Aquitaine,16.308274836987774
2013,Occitanie,15.030745005586002
2013,Pays de la Loire,27.925625588729165
2013,Provence-Alpes-Côte d'Azur,17.768969207291978
2013,Île-de-France,21.590210372903513
2018,Auvergne-Rhône-Alpes,20.885300467044342
2018,Bourgogne-Franche-Comté,11.590737624049678
2018,Bretagne,19.933052262668774
2018,Centre-Val de Loire,12.403537674499262
2018,Grand Est,11.952458545001438
2018,Hauts-de-France,23.09890838582958
2018,Normandie,19.56628701594533
2018,Nouvelle-Aquitaine,20.493389081439915
2018,Occitanie,17.056663188990672
2018,Pays de la Loire,31.283808779289306
2018,Provence-Alpes-Côte d'Azur,18.25450298701882
2018,Île-de-France,26.02862617110754
2024,Auvergne-Rhône-Alpes,27.4701840296975
2024,Bourgogne-Franche-Comté,13.395905424329047
2024,Bretagne,23.622699528805178
2024,Centre-Val de Loire,17.256871394638615
2024,Grand Est,15.528221388935897
2024,Hauts-de-France,27.938369399489677
2024,Normandie,22.34892528487426
2024,Nouvelle-Aquitaine,24.70366367328058
2024,Occitanie,20.914109184868295
2024,Pays de la Loire,35.68798167575707
2024,Provence-Alpes-Côte d'Azur,22.506116068256336
2024,Île-de-France,32.03933601040665
